Time,M1SupplyVoltage,M1Current,M1Speed,M2SupplyVoltage,M2Current,M2Speed
2.310000,3.390989,0.026374,-5.774986,3.390989,0.007033,4.491656,
2.320000,3.947033,0.026374,-5.133321,3.947033,0.007033,3.849991,
2.330000,3.608571,0.026374,-5.133321,3.608571,0.007033,3.849991,
2.340000,3.565055,0.026374,-4.491656,3.565055,0.007033,3.208326,
2.350000,4.043736,0.026374,-3.849991,4.043736,0.005275,3.208326,
2.360000,3.594066,0.026374,-3.849991,3.594066,0.007033,2.566661,
2.370000,3.710110,0.027253,-3.849991,3.710110,0.006154,1.924995,
2.380000,3.835824,0.026374,-2.566661,3.835824,0.006154,2.566661,
2.390000,3.241099,0.025495,-3.208326,3.241099,0.006154,1.283330,
2.400000,4.111429,0.025495,-2.566661,4.111429,0.007912,1.283330,
2.410000,3.671429,0.026374,-1.924995,3.671429,0.005275,1.283330,
2.420000,3.439341,0.026374,-1.924995,3.439341,0.005275,1.283330,
2.430000,4.169450,0.026374,-1.283330,4.169450,0.006154,0.641665,
2.440000,3.511868,0.026374,-1.283330,3.511868,0.006154,0.000000,
2.450000,3.845495,0.026374,-1.283330,3.845495,0.007033,0.000000,
2.460000,3.840659,0.025495,-0.641665,3.840659,0.007033,-0.641665,
2.470000,3.482857,0.025495,-0.000000,3.482857,0.005275,0.000000,
2.480000,4.014725,0.025495,0.641665,4.014725,0.007033,0.000000,
2.490000,3.574725,0.027253,0.641665,3.574725,0.006154,0.000000,
2.500000,3.521538,0.025495,-0.000000,3.521538,0.006154,0.000000,
2.510000,4.072747,0.025495,-0.000000,4.072747,0.005275,0.000000,
2.520000,3.550550,0.026374,-0.000000,3.550550,0.005275,0.000000,
2.530000,3.782637,0.026374,-0.000000,3.782637,0.007033,0.000000,
2.540000,3.840659,0.026374,-0.000000,3.840659,0.006154,0.000000,
2.550000,3.487692,0.027253,-0.000000,3.487692,0.006154,0.000000,
2.560000,4.034066,0.026374,-0.000000,4.034066,0.007033,0.000000,
2.570000,3.676264,0.026374,-0.000000,3.676264,0.007912,0.000000,
2.580000,3.550550,0.026374,-0.000000,3.550550,0.006154,0.000000,
2.590000,4.063077,0.026374,-0.000000,4.063077,0.007033,0.000000,
2.600000,3.550550,0.025495,-0.000000,3.550550,0.007033,0.000000,
2.610000,3.855165,0.025495,-0.000000,3.855165,0.005275,0.000000,
2.620000,3.811649,0.025495,-0.000000,3.811649,0.006154,0.000000,
2.630000,3.482857,0.025495,-0.000000,3.482857,0.007912,0.000000,
2.640000,4.048571,0.024615,-0.000000,4.048571,0.007033,0.000000,
2.650000,3.656923,0.026374,-0.000000,3.656923,0.007033,0.000000,
2.660000,3.574725,0.025495,-0.000000,3.574725,0.007912,0.000000,
2.670000,4.043736,0.027253,-0.000000,4.043736,0.005275,0.000000,
2.680000,3.521538,0.025495,-0.000000,3.521538,0.006154,0.000000,
2.690000,3.864835,0.025495,-0.000000,3.864835,0.007912,0.000000,
2.700000,3.826154,0.027253,-0.000000,3.826154,0.006154,0.000000,
2.710000,2.931648,0.025495,-0.000000,2.931648,0.007912,0.000000,
2.720000,4.072747,0.024615,-0.000000,4.072747,0.005275,0.000000,
2.730000,3.632747,0.026374,-0.000000,3.632747,0.005275,0.000000,
2.740000,3.594066,0.026374,-0.000000,3.594066,0.007033,0.000000,
2.750000,4.024395,0.026374,-0.000000,4.024395,0.005275,0.000000,
2.760000,3.502198,0.025495,-0.000000,3.502198,0.007033,0.000000,
2.770000,3.913187,0.026374,-0.000000,3.913187,0.007033,0.000000,
