α,θ,L Enc,R Enc,L_u,R_u,X,Y,θ,error,L_P,R_P,L_I,R_I,L_D,R_D
3.118922,-2.288487,-5,-8,0.053953,-0.048411,-0.282333,0.000000,-2.312561,-0.001190,-0.021428,-0.021428,-0.000000,-0.000000,0.075381,0.075381
-3.138650,-2.315091,-3,-100,-0.691252,0.620248,-0.323143,0.000000,-2.643660,-0.026803,-0.482460,-0.482460,-0.000000,-0.000000,-0.208792,-0.208792
3.121768,-2.341682,-8,-31,0.005580,-0.005007,-0.366648,0.000000,-2.919576,-0.004036,-0.072647,-0.072647,-0.000000,-0.000000,0.078228,0.078228
3.135230,-2.374813,-3,-60,-0.498300,0.447116,-0.385769,0.000000,-3.015826,-0.017498,-0.314973,-0.314973,-0.000000,-0.000000,-0.183327,-0.183327
3.120176,-2.405014,-8,-11,0.078338,-0.070291,-0.426066,0.000000,-3.241692,-0.002444,-0.043993,-0.043993,-0.000000,-0.000000,0.122330,0.122330
3.134301,-2.436458,-3,-100,-0.483858,0.434157,-0.452631,0.000000,-3.391842,-0.016569,-0.298249,-0.298249,-0.000000,-0.000000,-0.185609,-0.185609
3.124866,-2.473762,-9,-12,-0.016331,0.014653,-0.491772,0.000000,-3.588192,-0.007134,-0.128411,-0.128411,-0.000000,-0.000000,0.112081,0.112081
3.128042,-2.511839,-4,-7,-0.388410,0.348513,-0.508712,0.000000,-3.621558,-0.010311,-0.185592,-0.185592,-0.000000,-0.000000,-0.202818,-0.202818
3.123659,-2.559247,-9,-14,0.043166,-0.038732,-0.556709,0.000000,-3.909024,-0.005927,-0.106688,-0.106688,-0.000000,-0.000000,0.149853,0.149853
3.127100,-2.614662,-3,-8,-0.330113,0.296205,-0.575959,0.000000,-3.962924,-0.009368,-0.168623,-0.168623,-0.000000,-0.000000,-0.161490,-0.161490
3.121811,-2.681671,-10,-17,0.133653,-0.119924,-0.632554,0.000000,-4.326107,-0.004079,-0.073428,-0.073428,-0.000000,-0.000000,0.207081,0.207081
3.134015,-2.752928,-4,-142,-0.492388,0.441811,-0.689020,0.000000,-4.731639,-0.016284,-0.293103,-0.293103,-0.000000,-0.000000,-0.199285,-0.199285
3.106591,-2.819307,-10,-127,0.447603,-0.401626,-0.744075,0.000000,-5.038355,0.011141,0.200539,0.200539,0.000000,0.000000,0.247064,0.247064
-3.137236,-2.872632,-7,-77,-0.758658,0.680730,-0.790532,0.000000,-5.356620,-0.028217,-0.507909,-0.507909,-0.000000,-0.000000,-0.250749,-0.250749
3.100341,-2.928782,-10,-40,0.467895,-0.419833,-0.844945,0.000000,-5.605587,0.017391,0.313042,0.313042,0.000000,0.000000,0.154853,0.154853
-3.126773,-2.967177,-9,-14,-0.906418,0.813312,-0.891658,0.000000,-5.905887,-0.038680,-0.696247,-0.696247,-0.000000,-0.000000,-0.210171,-0.210171
3.100013,-3.019693,-8,-11,0.262483,-0.235521,-0.938500,0.000000,-6.061170,0.017719,0.318938,0.318938,0.000000,0.000000,-0.056455,-0.056455
